TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,188342.297702,44.206883,49.603472,49.298168,15.454813,22.581288,99.862405,99.819883,46.308938,44.466579,44.206854,49.603433,49.298136,0.016816,7929.91,7.36,55011103723855,48075205911,22147521268610,26064124222,4437a4f28ca55694328df7177a8e8460,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,70519.448551,41.859554,46.906765,46.319646,13.711736,19.700754,99.769709,98.675080,41.767261,42.183794,41.859524,46.906575,46.319614,1.172980,4234.05,5.23,32230534100420,35537578560,14450019568413,18839258460,a44d0958254bc56f7a741fd52037a02e,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,35345.342657,39.856572,44.274658,43.535173,12.756537,17.775016,93.504629,91.182045,38.202265,40.197132,39.856555,44.274330,43.535071,1.331414,4088.28,5.28,28280714463190,29526229645,11417175920372,15784966871,fe1394e1aa37389722b286987fd613ea,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,17126.009990,37.071561,41.411456,40.694860,11.515539,15.314006,78.957336,76.339083,34.064086,37.769530,37.071512,41.410910,40.694560,1.390400,3250.07,4.73,19196993685421,24862043861,8527757055274,13313039274,908e420190216e28e67e18d44f180f44,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7801.798202,33.762388,38.654628,38.298751,10.105839,12.580358,56.842148,54.369809,29.907856,35.014892,33.762219,38.653623,38.297692,1.217203,2250.67,2.94,13460673127955,20857888315,5923392355863,10834327158,2845a3dd91b3d5960415c68564c72da9,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3305.814186,30.380634,35.582561,35.505193,8.807679,9.986006,32.219726,30.282912,26.096699,31.723769,30.380268,35.580536,35.502705,1.247601,1726.04,3.55,9849221719243,18125752912,4565942092040,10171728048,ea1656bfe8a6bdecb46e49208add1e9c,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,79260.803197,43.663523,49.501498,52.816176,14.070280,21.384999,99.127567,97.700204,45.315686,44.390707,43.663206,49.500923,52.815792,0.026663,8504.81,4.92,52021569222420,31880194156,22146697318703,13742474181,2a818fce2a5bde40e5d6f21effb1664c,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,25855.296703,42.676035,48.247809,51.424120,13.404517,19.816725,94.294511,92.512036,42.751035,43.376262,42.673545,48.246908,51.423526,0.323035,3637.51,5.58,21866253834169,25331480716,9511709393684,15636191443,6c48c1df939025fafbb9d580d3dd059d,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,13024.703297,41.690375,46.774103,49.543463,13.012336,18.455351,85.478065,83.366620,40.418939,42.264114,41.683885,46.773100,49.542677,0.311419,2844.18,4.22,16690441013668,21237664761,7462007561993,11988065925,0e399742d873545545d0a0c76b0f1ab3,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,6546.589411,40.046183,44.754205,46.997888,12.529899,16.476923,69.011007,66.649109,37.457573,40.548725,40.035103,44.752828,46.996611,0.348471,1969.65,3.13,11684519346057,18353332676,5199299361751,8757201789,765a22140e33ffb09a291fd6ca0a71e2,
