TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,19260.375317,42.256138,48.438995,48.298442,13.904300,20.207049,99.975056,99.773859,42.784601,43.083592,42.203277,48.409994,48.269523,1.186052,38447.90,13.32,298783875732324,65922184454,107375626552706,37086269013,d5c5b1341d3760b2c80a48dce30040bf,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,7288.596942,41.355545,47.070383,46.755186,13.484049,19.399291,98.906685,96.924812,41.117558,42.126094,41.338411,47.053103,46.734509,1.220063,36541.60,17.13,287750994379497,55429144755,102044781467622,47253039964,80122878834b5d6f1a94dd22f37cfb23,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,3134.470453,39.929037,45.301955,44.710367,12.905862,18.186548,93.146378,90.928602,38.567915,40.815219,39.909223,45.281837,44.686746,1.312699,19881.34,12.33,163650600142786,44200883965,55517042483773,33879689327,21a1f893b40881b78457d0b47d0e2feb,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1543.794052,37.709652,43.123749,42.319356,11.998258,16.305743,82.365675,79.952463,35.139307,38.962112,37.680236,43.105566,42.299711,1.402503,12516.36,7.44,100414017631343,35701797863,34949698656000,20781398658,346d78ea4b3aeff41778137e70fb29bc,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,740.165680,34.732981,40.561215,39.782600,10.771278,13.874353,64.614886,62.129087,31.239418,36.543689,34.695957,40.546514,39.768907,1.511520,5511.93,9.07,44520291955487,30904876544,15392249864672,25084204219,9a0b987f8f97db91e96bd5eb4adb516a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,351.665565,31.467536,37.990127,37.530107,9.468390,11.342193,42.534672,40.343942,27.476339,33.732548,31.427217,37.980197,37.521078,1.216813,3970.42,8.77,24776516578728,26140886635,10510593260751,24415601703,56be591b7dd95386b25088a9a198fc2e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,10003.486975,41.441120,46.847605,46.810167,13.576240,19.740808,99.883757,97.839719,41.837585,42.265955,41.425016,46.834393,46.792564,1.277387,10145.29,6.81,80663870912520,32553247831,34965883896555,19024939420,1d577845f3eb376b592225c14cc11e30,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,4282.412972,40.448322,45.651848,45.339568,13.140754,18.797432,96.385723,93.763855,39.814412,41.313775,40.434573,45.638428,45.320565,1.284744,10339.13,5.91,80261206894339,27480594410,28875695522756,16536039107,1d0bda73f52a160d3428bc6c125346d0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,2054.022285,38.705998,43.943720,43.296420,12.417467,17.236655,87.974191,85.381686,36.766822,39.835560,38.682898,43.928057,43.276944,1.397395,8778.28,5.79,55254652721400,22312104361,23305754453936,15847022778,0476347482dc135ac4dee291815f4f3e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,1013.333743,36.201430,41.820975,40.978211,11.379987,15.093952,73.885794,71.322378,33.136075,37.787931,36.168795,41.807116,40.963100,1.438372,6187.26,5.93,40043007839307,17097210798,16514889177282,16466904180,c30a5bcffc511000f00a0fcf1df9b3c4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,477.406901,33.095585,39.377935,38.683212,10.122242,12.574310,53.832384,51.436804,29.299510,35.348954,33.057429,39.366652,38.671497,1.412402,4157.79,3.62,27291243181844,14241778627,11119375188883,10705894624,1dbeab39f918349baaa7cbe9b20bf955,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,218.535926,29.806826,37.054616,36.622825,8.871191,10.112182,30.840567,28.954288,25.685841,32.672456,29.768618,37.045436,36.615667,1.275398,1835.37,3.46,14607426563315,11309405905,5125016011176,9587857190,a4933cf260d1db8f401b4ac763d143c0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6706.621379,40.510043,45.733321,45.481293,13.201291,19.240386,97.598424,94.977585,40.786734,41.574816,40.500157,45.724896,45.467509,1.317317,10681.70,5.30,63227618500326,20853089994,28078431566811,14230776161,b1fc1697ad5261d8a79eac7ede552903,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,3121.549220,39.447990,44.659170,44.146720,12.731178,18.166921,92.757666,89.884108,38.525073,40.607703,39.433895,44.648756,44.130809,1.406955,8420.87,3.04,65900291681422,17077405587,28883328203059,8481832482,210f1d3c85c6abd1bb6aae31f76d7a22,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1523.156228,37.584921,43.021472,42.240484,11.943732,16.406831,82.565913,79.746349,35.282177,39.036697,37.560565,43.008291,42.221930,1.468723,7644.29,2.60,47369270832642,13365187408,20146019976825,7254519678,9adcd9befe8917a9761b19132255e63d,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,185,744.949819,35.000736,40.952122,40.105753,10.877012,14.151669,66.160526,63.584308,31.656451,36.935416,34.968144,40.939412,40.093009,1.536306,5817.82,3.00,37373995021252,10202893916,15383583949675,8175220808,1d14de93a998c3c040534759490b9f70,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,210,346.516253,31.877323,38.556691,37.945984,9.645352,11.641881,45.045223,42.811907,27.929006,34.465981,31.841337,38.546436,37.938494,1.481108,4222.06,2.75,26811570680596,8218494751,11177788090292,7567797625,806439df90ba38271fb1f99a29da894f,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,235,156.102359,28.625514,36.357671,36.106174,8.483335,9.256188,21.775917,20.254000,24.466348,31.809886,28.590152,36.348444,36.101054,1.178536,1633.04,2.09,10392835990125,6313025304,4330492273020,7521773027,8cee2bf6b006622686c5cd3f668fec9e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,110,4005.825559,38.253869,44.342532,43.646298,12.179370,17.940388,89.692904,87.003367,37.300022,40.297984,38.247681,44.336262,43.634984,1.400260,4323.92,2.89,26082375760240,10537635345,11365660906304,7714037858,99252188c4ac691926051cf1af5255c7,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,135,2016.000000,37.288626,43.334875,42.505058,11.732296,16.772039,82.934330,80.101420,35.403446,39.306805,37.276694,43.326721,42.491362,1.481525,2808.99,2.18,22047227802085,8726098664,9656013171752,5814739985,124032ed7a63c450074a1ca971f79e05,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,160,989.508953,35.546053,41.778775,40.841270,11.006758,14.950957,70.111217,67.336920,32.602083,37.710117,35.523902,41.767294,40.826315,1.513337,2756.13,1.62,16985721576455,6762604154,7273806285665,5760057254,465d129bf6aac59ff38ee5471a228d0c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,185,480.704526,33.100402,39.740536,38.970477,10.050899,12.718579,51.878491,49.493743,29.381627,35.592247,33.068974,39.729962,38.960427,1.558981,2149.80,1.25,13744544370312,5017668749,5695338406576,3403159705,b606985536d5ed3d748506dac9ae8482,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,210,220.044571,30.089219,37.426970,37.016062,8.982158,10.327727,30.979711,29.151645,25.988241,33.087031,30.053592,37.416969,37.008684,1.432017,1627.35,0.71,10445546799610,3717471364,4326385514810,1993864278,a43faeff73d876853a40196d80a646a6,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1280x720,235,97.220933,27.044541,35.391928,35.260030,8.019373,8.168609,10.778314,9.723193,22.893915,30.531672,27.010216,35.388311,35.255522,1.264777,964.69,0.51,6175060916873,2538631529,2560556380800,1421504707,5ec0f2572ef101955c26ad8cb68762b9,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,110,2825.851072,36.143747,43.295801,42.381940,11.130097,16.337219,78.214767,75.497804,33.608463,39.099185,36.138898,43.290273,42.371782,1.466642,2739.04,1.68,19881036058970,6772600595,7650409735262,4445790347,777125023c88aa3f9d101911745d5b67,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,135,1447.727657,35.349462,42.335327,41.403314,10.774476,15.295380,70.394702,67.624108,32.359857,38.158530,35.339770,42.327500,41.390678,1.524943,2332.41,1.00,14024747915526,5611184495,6130081457776,2810633134,cdd942d70d4531cbb929fc7498fe61c1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,160,716.215477,33.865161,40.852352,39.954927,10.202729,13.670213,56.697727,54.133702,30.315083,36.632316,33.845745,40.841390,39.941077,1.558563,1574.15,0.87,10372368494307,4232237093,4461814920276,2408340722,9bcbc167b34b40ebf932cacb89d6df1b,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,185,346.398217,31.648903,38.873066,38.208938,9.426743,11.634055,38.485480,36.501449,27.658305,34.578876,31.619750,38.860294,38.199002,1.569874,1305.04,0.54,8032223216771,3118400853,3451158935740,1500191280,85436f24c4123352abdf2b6eda2e00dc,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,960x540,210,160.082379,28.849250,36.661958,36.347578,8.536123,9.434244,20.015710,18.656333,24.678425,32.126413,28.816393,36.654491,36.341510,1.585974,960.57,0.51,6078590582299,2290955237,2552694833831,1384103474,e8eb6ed6ef30e195e8884a4fdb15b371,
