TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,19260.375317,42.256138,48.438995,48.298442,13.904300,20.207049,99.975056,99.773859,42.784601,43.083592,42.203277,48.409994,48.269523,1.186052,38798.17,13.17,298784023344220,65922416712,108351900647485,36800770251,d5c5b1341d3760b2c80a48dce30040bf,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,7288.596942,41.355545,47.070383,46.755186,13.484049,19.399291,98.906685,96.924812,41.117558,42.126094,41.338411,47.053103,46.734509,1.220063,45391.27,15.16,287797924239548,55428925691,118852815200677,41587337993,80122878834b5d6f1a94dd22f37cfb23,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,3134.470453,39.929037,45.301955,44.710367,12.905862,18.186548,93.146378,90.928602,38.567915,40.815219,39.909223,45.281837,44.686746,1.312699,25506.61,8.17,163681305809871,43815833740,67226074509031,22754722756,21a1f893b40881b78457d0b47d0e2feb,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1543.794052,37.709652,43.123749,42.319356,11.998258,16.305743,82.365675,79.952463,35.139307,38.962112,37.680236,43.105566,42.299711,1.402503,12230.28,7.29,100432605830758,35701759160,42272978875096,20242984912,346d78ea4b3aeff41778137e70fb29bc,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,740.165680,34.732981,40.561215,39.782600,10.771278,13.874353,64.614886,62.129087,31.239418,36.543689,34.695957,40.546514,39.768907,1.511520,5428.96,6.41,44520302115601,30612071470,15159247046773,17826505759,9a0b987f8f97db91e96bd5eb4adb516a,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,351.665565,31.467536,37.990127,37.530107,9.468390,11.342193,42.534672,40.343942,27.476339,33.732548,31.427217,37.980197,37.521078,1.216813,3055.50,5.46,24767200382335,25861226293,8532902529235,15273896371,56be591b7dd95386b25088a9a198fc2e,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18526.137247,42.681982,48.554096,51.971246,13.469680,19.919917,94.609168,92.825874,42.885667,43.542050,42.638274,48.536791,51.956999,0.322607,21928.98,15.53,169333982014397,77699478853,61238780497604,55834629088,ab0907e6df082bcf56736e91d36b8c31,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6027.281027,41.922414,47.730636,50.827496,13.129821,18.938869,88.860645,86.982543,41.141022,42.782095,41.909640,47.721716,50.814561,0.297600,25690.63,11.90,157622553234943,63956113604,67037690040389,33275879005,f8ba32036efd338461eeb8f693ca671a,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2615.529701,40.695377,46.489642,49.151401,12.744316,17.518405,78.313612,76.396898,38.764188,41.635058,40.665801,46.476856,49.129122,0.281244,13721.97,13.19,86277420385580,51112047599,35960157557574,36506833287,91af09ee75e0066bc89847b3f729f386,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1256.509644,38.859919,44.760416,46.913730,12.270509,15.672360,62.486889,60.585793,35.972458,39.971019,38.804818,44.741971,46.879733,0.307566,6357.27,7.76,51314155861489,41294119767,17762664980061,21699644446,e7157cf73bc7b897758ef1118a5709fb,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,600.691616,36.314971,42.503692,44.069878,11.685842,13.431839,42.478191,40.766568,32.823258,37.641469,36.237686,42.478276,44.028628,0.383110,5256.60,8.51,32746911766941,34886277789,13892955497891,30549136675,efe383b840f0f2b82449f71525122dd5,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,292.647660,33.304322,39.766888,40.935447,11.008588,11.099804,22.729767,21.450932,29.567412,34.779875,33.213040,39.736195,40.885904,0.528957,2629.93,7.81,21225174740892,30857866526,7344430651118,22944920313,cb2694af6491718b84315bf8847ba99d,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,27074.652117,42.913565,48.490917,48.619664,15.745782,22.573491,99.971014,99.962580,44.187237,43.813970,42.819726,48.400585,48.518589,0.016115,23145.45,15.72,183340462568878,76625460836,79726698082616,55163544770,beae83976d8d2a1a26c787dc703cfb04,
RA,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,12165.582110,41.297310,46.313965,46.544379,14.668211,20.557976,99.956323,99.945010,40.808718,42.087499,41.230974,46.231829,46.449162,0.016603,30633.20,16.26,192738392054568,67304739976,80560413519470,44111598864,06c267c8b507782093e0e4aafd7dde29,
