TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,19260.375317,42.256138,48.438995,48.298442,28.983240,20.207049,99.975056,99.773859,42.784601,43.083592,42.203277,48.409994,48.269523,1.186052,38447.90,13.14,298783875732324,65922182674,107375626552706,36703865102,d5c5b1341d3760b2c80a48dce30040bf,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,7288.596942,41.355545,47.070383,46.755186,27.132588,19.399291,98.906685,96.924812,41.117558,42.126094,41.338411,47.053103,46.734509,1.220063,36541.60,10.85,287750994379497,54909313398,102044781467622,30273272232,80122878834b5d6f1a94dd22f37cfb23,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,3134.470453,39.929037,45.301955,44.710367,24.574956,18.186548,93.146378,90.928602,38.567915,40.815219,39.909223,45.281837,44.686746,1.312699,19881.34,8.98,163650600142786,43815768628,55517042483773,25135023085,21a1f893b40881b78457d0b47d0e2feb,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1543.794052,37.709652,43.123749,42.319356,21.195071,16.305743,82.365675,79.952463,35.139307,38.962112,37.680236,43.105566,42.299711,1.402503,12516.36,10.15,100414017631343,36014801891,34949698656000,28058185934,346d78ea4b3aeff41778137e70fb29bc,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,740.165680,34.732981,40.561215,39.782600,17.387343,13.874353,64.614886,62.129087,31.239418,36.543689,34.695957,40.546514,39.768907,1.511520,5511.93,8.77,44520291955487,30904855299,15392249864672,24248594487,9a0b987f8f97db91e96bd5eb4adb516a,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,351.665565,31.467536,37.990127,37.530107,13.670430,11.342193,42.534672,40.343942,27.476339,33.732548,31.427217,37.980197,37.521078,1.216813,3970.42,5.21,24776516578728,25861226550,10510593260751,14607842028,56be591b7dd95386b25088a9a198fc2e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,10003.486975,41.441120,46.847605,46.810167,28.014601,19.740808,99.883757,97.839719,41.837585,42.265955,41.425016,46.834393,46.792564,1.277387,10145.29,6.37,80663870912520,32553217769,34965883896555,17724128213,1d577845f3eb376b592225c14cc11e30,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,4282.412972,40.448322,45.651848,45.339568,25.893719,18.797432,96.385723,93.763855,39.814412,41.313775,40.434573,45.638428,45.320565,1.284744,10339.13,6.23,80261206894339,27701974931,28875695522756,16871473823,1d0bda73f52a160d3428bc6c125346d0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,2054.022285,38.705998,43.943720,43.296420,22.853001,17.236655,87.974191,85.381686,36.766822,39.835560,38.682898,43.928057,43.276944,1.397395,8778.28,4.13,55254652721400,22132117418,23305754453936,11450848702,0476347482dc135ac4dee291815f4f3e,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,1013.333743,36.201430,41.820975,40.978211,19.259184,15.093952,73.885794,71.322378,33.136075,37.787931,36.168795,41.807116,40.963100,1.438372,6187.26,3.26,40043007839307,16958365269,16514889177282,9066110165,c30a5bcffc511000f00a0fcf1df9b3c4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,477.406901,33.095585,39.377935,38.683212,15.442233,12.574310,53.832384,51.436804,29.299510,35.348954,33.057429,39.366652,38.671497,1.412402,4157.79,4.13,27291243181844,14241710348,11119375188883,11231612268,1dbeab39f918349baaa7cbe9b20bf955,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,218.535926,29.806826,37.054616,36.622825,11.918411,10.112182,30.840567,28.954288,25.685841,32.672456,29.768618,37.045436,36.615667,1.275398,1835.37,3.23,14607426563315,11309363539,5125016011176,8913387688,a4933cf260d1db8f401b4ac763d143c0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6706.621379,40.510043,45.733321,45.481293,27.190634,19.240386,97.598424,94.977585,40.786734,41.574816,40.500157,45.724896,45.467509,1.317317,10681.70,4.88,63227618500326,20853121874,28078431566811,13034156795,b1fc1697ad5261d8a79eac7ede552903,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,3121.549220,39.447990,44.659170,44.146720,24.815792,18.166921,92.757666,89.884108,38.525073,40.607703,39.433895,44.648756,44.130809,1.406955,8420.87,4.23,65900291681422,17169608087,28883328203059,11435148576,210f1d3c85c6abd1bb6aae31f76d7a22,
