TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,60,5830685,48.632388,49.614085,50.774826,50.260628,34.246713,96.990405,96.356751,54.163652,47.774375,48.632388,49.614085,50.774826,0.000001,630.69,1.33,3365276666155,8295321474,1783581980774,3701142008,c42e1df742a4149a153ce36603a8c85a,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,85,3787144,42.460305,45.512308,47.924833,44.351392,27.944936,96.173388,95.209296,49.086928,42.964203,42.460305,45.512308,47.924833,0.000046,575.07,1.32,3069409711642,6691676629,1611902503935,3465305662,d977ee65913526eecf7a5b57c31c79c1,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,110,1989772,36.244805,41.920632,44.963937,37.977209,21.500363,93.788845,92.423063,42.130904,38.088023,36.244805,41.920632,44.963937,0.000677,480.04,1.03,2710400923449,5350428101,1343164440803,2741947682,83fd53dfcc2a40a7044f435b992affc9,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,135,904149,31.785522,38.980605,42.206755,31.676246,17.177892,87.476414,85.565582,35.536120,34.349495,31.785522,38.980605,42.206755,0.002146,633.16,0.66,3819212406548,3553127621,1756652076738,1776983212,3219b8339d8d0526155ffa905321565c,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,160,413445,28.239353,36.133698,38.874727,25.467481,13.703814,71.292010,69.245249,29.251776,31.169567,28.239353,36.133698,38.874727,0.006846,339.43,0.38,2715163439626,2573580796,1207577215881,1077527424,06b6fb9e18ed230f11825cecf08b5da3,
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25.00,8,4032x3024,185,175276,24.687136,33.483144,36.219353,19.380299,10.008874,45.170753,43.543828,23.409414,27.976647,24.687136,33.483144,36.219353,0.024722,308.72,0.27,1932197436684,1885537420,832120820358,767411135,b60d7dbd5c08db31f6ac3cfef442f062,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,60,4003463,48.496781,50.454409,50.807319,45.629072,31.034776,96.580838,95.836728,52.427970,47.900915,48.496781,50.454409,50.807319,0.000017,621.54,1.10,3181785407722,6692370183,1752163421075,3043493455,2c15cc8d443b061550625081ffb6198c,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,85,2150142,42.449748,47.867863,48.292113,40.119997,24.791928,95.107652,94.080682,47.224107,43.761860,42.449748,47.867863,48.292113,0.003669,516.14,0.97,2906712725879,4956502291,1443521692239,2553082220,9742c2bd5ebbea7325a0fbbbcedc78c0,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,110,862974,37.310934,45.479705,46.084217,33.763460,19.081801,91.731014,90.036639,40.645507,39.997355,37.310934,45.479705,46.084217,0.354368,374.15,0.61,2268793472851,3358619748,1037106480773,1665456211,733b201eb7272e140d139383f5b2d945,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,135,324603,33.983678,43.572729,44.253423,27.808313,14.900498,82.974494,80.860463,34.485939,37.314482,33.983678,43.572729,44.253423,1.169140,366.74,0.47,2274124584397,2073251326,997810115987,1138822871,7ebb5cafd3f053ff6c28a71179fe751a,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,160,140105,31.457739,41.540796,41.976576,22.570737,11.925352,63.882576,62.205294,29.612098,34.932658,31.457739,41.540796,41.976576,1.623746,225.02,0.29,1355250647847,1640804712,601982931209,827190174,43562eb5c4422bc4051bf83c9a9d76e6,
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25.00,8,4032x3024,185,61751,28.772761,39.070977,39.050533,17.476638,9.268639,37.866607,36.734630,25.455648,32.260226,28.772761,39.070977,39.050533,1.633494,117.83,0.23,914442155749,1282442314,406680238912,649457627,acce2a9933bf1c4c0dd5ce59a89e5cfd,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,60,1072157,50.896252,55.337748,55.900066,43.410585,28.905696,96.437248,95.273391,50.401785,53.687983,50.896252,55.337748,55.900066,0.017155,374.86,0.47,2197326857721,2964405320,1037576411406,1650785160,d8cc946a2d6a0d643207089b7c34c355,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,85,537489,47.055980,52.938031,53.620494,37.506494,24.141474,95.085764,93.504860,45.749846,49.573491,47.055980,52.938031,53.620494,0.044347,277.84,0.38,1658018912649,2366118436,753220791127,1377105207,0c6cffb1ef85b1f1e4eba1aea07f120c,
STILL,aom,av2,0,F1,animals_09.y4m,4032x3024,25.00,8,4032x3024,110,255163,43.313132,50.521055,51.431945,31.456834,19.764594,91.150927,89.134975,40.775885,46.071545,43.313132,50.521055,51.431945,0.219169,180.12,0.33,1075203524852,1787359223,481985332154,932036323,b8a5ae1d92c6ce5de65f943d05605a7a,
