TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,0, KEY ,1,137,356082,44.266521,49.740964,49.750473,33.597937,22.695633,95.785277,94.604848,46.458274,44.527886,0.012139
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,1, KEY ,1,137,354800,44.268945,49.709947,49.738706,33.544916,22.680337,100.000000,100.000000,46.439273,44.513697,0.009701
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,2, KEY ,1,137,353653,44.274751,49.748572,49.768598,33.608619,22.692750,100.000000,100.000000,46.459657,44.539007,0.006970
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,3, KEY ,1,137,355125,44.299882,49.763601,49.781637,33.568990,22.740063,100.000000,100.000000,46.491599,44.559541,0.008510
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,4, KEY ,1,137,354782,44.299057,49.747212,49.778947,33.592606,22.741494,100.000000,100.000000,46.500817,44.544441,0.011623
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,5, KEY ,1,137,354200,44.296417,49.747397,49.786790,33.643819,22.727276,100.000000,100.000000,46.501724,44.558294,0.005695
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,6, KEY ,1,137,353116,44.302409,49.747080,49.813006,33.593198,22.731369,100.000000,100.000000,46.479248,44.565809,0.019830
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,7, KEY ,1,137,354096,44.295933,49.749534,49.819966,33.556643,22.727979,100.000000,100.000000,46.493348,44.562884,0.009816
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,8, KEY ,1,137,353694,44.300858,49.768874,49.771932,33.583735,22.730520,100.000000,100.000000,46.487361,44.576094,0.011175
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,9, KEY ,1,137,352280,44.291441,49.738915,49.796066,33.570757,22.716552,100.000000,100.000000,46.474031,44.568897,0.011342
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,10, KEY ,1,137,353292,44.298427,49.743396,49.804780,33.608619,22.733065,100.000000,100.000000,46.493055,44.575578,0.009773
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,11, KEY ,1,137,353365,44.305772,49.741714,49.786932,33.631258,22.738556,100.000000,100.000000,46.501474,44.581540,0.008815
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,12, KEY ,1,137,354009,44.320323,49.758995,49.808292,33.631855,22.768292,100.000000,100.000000,46.530352,44.599212,0.011093
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,13, KEY ,1,137,352391,44.308477,49.756979,49.803350,33.605056,22.731460,100.000000,100.000000,46.491858,44.593207,0.010873
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,14, KEY ,1,137,352831,44.299393,49.741138,49.786108,33.554295,22.722541,100.000000,100.000000,46.474578,44.587204,0.013693
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,15, KEY ,1,137,352274,44.300669,49.729770,49.797727,33.593198,22.728685,100.000000,100.000000,46.474619,44.581998,0.016330
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,16, KEY ,1,137,355402,44.316093,49.738685,49.770627,33.576651,22.756983,100.000000,100.000000,46.511816,44.596736,0.010565
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,17, KEY ,1,137,356622,44.321797,49.725359,49.789791,33.633050,22.782925,100.000000,100.000000,46.548376,44.591042,0.014894
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,18, KEY ,1,137,356693,44.324255,49.732862,49.785596,33.653414,22.781786,100.000000,100.000000,46.517550,44.599516,0.015043
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,19, KEY ,1,137,356595,44.321066,49.752084,49.804319,33.695643,22.784554,100.000000,100.000000,46.530416,44.619020,0.009557
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,20, KEY ,1,137,356292,44.329546,49.728987,49.781911,33.693825,22.791984,100.000000,100.000000,46.520805,44.612196,0.015384
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,21, KEY ,1,137,355819,44.315196,49.734834,49.802697,33.609214,22.764213,100.000000,100.000000,46.508259,44.603053,0.021519
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,85,22, KEY ,1,137,357468,44.323356,49.712236,49.773844,33.688375,22.793017,100.000000,100.000000,46.534208,44.581492,0.011990
