TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,60,0, KEY ,1,62,5586253,48.586961,49.497796,50.878402,50.260628,34.434181,96.984459,96.317642,54.218452,47.755232,0.000002
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,85,0, KEY ,1,87,3691285,42.678737,45.899548,48.335008,44.635441,28.429684,96.216377,95.219027,49.610142,43.311588,0.000023
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,110,0, KEY ,1,112,1977323,36.657464,42.770240,45.918154,38.434243,22.095109,94.168592,92.717809,43.052709,38.720397,0.000358
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,135,0, KEY ,1,137,862448,32.044924,40.122544,43.629807,32.173562,17.472712,88.104502,86.155723,36.204639,34.894018,0.001634
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,160,0, KEY ,1,162,394632,28.660702,37.518752,41.396348,25.977947,14.086872,73.158326,71.072164,29.997909,31.883719,0.008391
STILL,aom,av2,0,F1,animals_00.y4m,4032x3024,25,8,185,0, KEY ,1,187,173213,25.298142,35.101803,39.260383,19.980169,10.511039,49.308591,47.435715,24.243314,28.832474,0.025676
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,60,0, KEY ,1,62,3829023,48.729226,50.604300,50.964262,46.472281,31.427170,96.590531,95.824645,52.652719,48.075882,0.000007
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,85,0, KEY ,1,87,2136434,42.906151,48.374138,48.738632,40.730437,25.438694,95.275675,94.203414,47.846576,44.178603,0.002076
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,110,0, KEY ,1,112,884797,37.745429,46.192367,46.738996,34.413166,19.674947,91.995126,90.441875,41.408412,40.459431,0.241328
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,135,0, KEY ,1,137,320504,34.233759,44.176318,44.811106,28.423246,15.229624,84.191312,82.036550,35.021886,37.623905,1.148508
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,160,0, KEY ,1,162,135012,31.744964,42.488877,42.824381,23.102710,12.180014,67.123135,64.949490,30.071061,35.374885,1.793233
STILL,aom,av2,0,F1,animals_03.y4m,4032x3024,25,8,185,0, KEY ,1,187,59639,29.169753,40.636943,40.537509,18.009319,9.598626,42.526347,40.934373,26.005788,32.911749,1.813222
