TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,170256.975025,44.307499,49.734426,49.786655,33.633469,22.755158,99.859509,99.820162,46.507335,44.575128,44.307467,49.734383,49.786616,0.012939,826354.08,28.70,4622620786659779,104733378954,2136924530469040,77565671196,2367fd3964b17e90f2b3765ccbb03548,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,61044.683317,41.946971,47.385422,47.151336,28.250044,19.754639,99.772722,98.832796,41.898892,42.421300,41.946940,47.385274,47.151295,1.116279,489983.00,21.58,3466068080126378,102621952302,1651665047218314,77265773278,1b91a5cb9035c94505b5e2039e4d901d,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,30189.506494,40.024547,45.010015,44.842091,24.298839,17.878099,93.887676,91.595189,38.467575,40.604913,40.024521,45.009791,44.842030,1.302408,425547.20,22.09,2326115671359797,98068631784,1099717870920556,60849605691,75722a4be7a9238aa4af587cac33a94d,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,14938.101898,37.419191,42.350328,42.338963,20.172131,15.562628,80.985639,78.166040,34.553097,38.369051,37.419154,42.349752,42.338676,1.294950,240169.69,19.96,1302901286750559,92322256476,624884717389352,55365436764,52d2716d2fb47848efbc6d5e85800b67,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,7044.027972,34.254629,39.447785,39.598018,15.992540,12.911814,61.763121,58.806976,30.506271,35.731587,34.254456,39.446524,39.596822,1.189096,124237.68,14.38,668982594660732,68666582483,322031594895086,40566857160,94523997a85eebe84c589c7c175c333e,
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3108.123876,30.925176,36.545474,36.664273,12.182847,10.335366,40.197263,37.596847,26.729376,32.965634,30.924962,36.544382,36.663275,0.858780,52781.39,10.91,300671307389139,57126509778,151483166073295,33279760806,cbee19725ac62428bb03c421d7ba25a6,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,68130.189810,43.673995,49.513503,52.890958,32.418557,21.381013,99.085098,97.730251,45.311276,44.401523,43.673700,49.513250,52.890631,0.020259,595139.56,16.17,3359746788656697,54803080533,1529053636253411,44010821144,2a0004b5b918e60f7030cc23204d475c,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,21511.880120,42.703795,48.467884,51.652015,27.800471,19.817130,94.373287,92.612295,42.785494,43.450988,42.701468,48.467548,51.651596,0.252670,305714.39,15.41,1585875579545234,66845385095,782234395957035,43118486769,002ad5d4cef81f519474fb7d56a6708b,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,10585.958042,41.742801,47.239878,49.878729,23.875107,18.506607,85.916556,83.740552,40.560189,42.418120,41.736964,47.239408,49.878062,0.341251,174994.04,14.03,914415103159621,65676071127,446176060936991,39617029008,bd33e92c8f67ed150b7895b9f3ba70cc,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,5440.063936,40.209636,45.277685,47.400602,19.772344,16.692735,71.138013,68.714520,37.773752,40.809327,40.200461,45.277107,47.399923,0.299702,79726.07,12.39,417000041486168,63070003867,205073743077935,35156700574,1dd7cc700aff56f01e7ec6d897630218,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,2791.528472,37.960408,42.652279,44.513007,15.746829,14.500837,50.332377,48.052903,34.667690,38.517729,37.951053,42.651195,44.510454,0.255130,25441.57,8.91,175662289780400,57296274669,71049002080774,24972574485,943d08712912a808e2f3d4c3cdfd994e,
AI,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,1399.976024,35.060327,39.694393,41.261362,12.091027,12.159831,27.991725,26.252816,31.380526,35.581923,35.052529,39.689110,41.258246,0.246199,14292.86,7.20,96451953948338,50569502004,39914478594083,20155624799,1a02c5bdccbc155e6010d75ccd01c18a,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,153396.731269,45.263135,50.804782,51.073500,35.409412,24.254251,99.816556,99.767522,47.486910,46.002594,45.263059,50.804512,51.073132,0.005780,673067.00,18.54,4582015200383195,87299229160,1879675053752793,51828425091,64bb876ee014b76b555fc49eb9b3ab88,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,75584.191808,43.043504,47.911116,48.180053,29.455211,21.236755,99.683966,99.621273,42.434842,43.542679,43.043420,47.910721,48.179203,0.007702,748518.98,22.84,4021576773219626,92489553101,1934630209925429,63036208898,f3dbc6d24ce06030fb14718d2303711e,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,38703.136863,40.284539,45.032586,45.203430,23.734846,17.872900,97.862304,95.521899,37.677650,40.827003,40.284144,45.031648,45.201634,0.011466,488754.57,19.26,2638827828098556,78616234404,1261911771164841,53443064563,0868f8962ed9c18c674ad9368a6d4d78,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,19069.890110,36.959772,42.138509,42.187381,18.360876,14.287859,78.845541,76.556758,33.230342,37.784766,36.958912,42.136984,42.183029,0.018235,267260.49,16.03,1436715241213805,67409937549,693101139402218,44674149963,44faed7008de58ff2e546fed6331bdf2,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,8729.494505,33.418525,39.143002,39.170865,13.557698,10.900778,53.547722,51.760260,29.170202,34.536930,33.417354,39.140896,39.167145,0.056183,124087.76,15.78,658850665085246,69884865655,321693028813101,44518732163,ddc4412670e56385baa14c0daaf58fd5,
AI,aom,av2,0,A1,FoodMarket2_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,3705.126873,30.049029,36.223677,36.063666,9.431546,8.084168,31.401824,30.440052,25.666619,31.453358,30.048406,36.221037,36.059129,0.111157,37149.70,9.47,262751092183560,58391240602,103745283687882,26454192494,4dcdad066e56723848dafbfafa11ea8b,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,85,77061.394605,47.911852,51.906687,51.545442,33.943944,25.843471,99.876806,99.840033,48.451113,49.706794,47.904599,51.894134,51.497252,0.884546,628671.60,22.02,3446131132608469,94816560386,1625010433963503,60959353849,62c1fe2953d332d817138837e1c3e3c0,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,110,35585.446553,44.105554,48.630645,48.136396,28.135489,21.818068,99.790792,99.739642,43.329270,46.494850,44.091578,48.618965,48.084613,1.124081,611471.75,21.98,3294428097742842,99277344156,1585007691112893,61203122852,13113ed2502534f2769edc8484cd0683,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,135,16381.226773,40.935235,45.357042,44.792632,23.484039,19.021217,98.638685,97.389718,39.269468,43.607549,40.918796,45.346882,44.739849,1.631877,423505.53,21.22,2298668953615728,97755098876,1103391469814458,58908867655,b237d94016c8064ea32f8f3f6ffc9c57,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,160,8028.843157,37.973207,41.881450,41.290766,19.576366,16.467433,87.979703,85.491519,35.166316,40.746341,37.954753,41.871353,41.227994,1.867386,262588.25,19.22,1471738320220407,91702837441,690390109815418,53564117153,e9bd8fca7454dc5bb5998ef95a7db56d,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,185,3875.484515,34.717108,38.311493,37.559224,15.631247,13.680453,69.663170,66.955771,30.930992,37.586456,34.696931,38.297027,37.476064,1.676863,158264.64,15.29,891140337720604,73766047751,420747959669721,43249427787,c51b4caad4a06e160b7d4cbf2f2417e7,
AI,aom,av2,0,A1,Neon1224_3840x2160_2997fps.y4m,3840x2160,30.00,10,3840x2160,210,1745.926074,31.300307,34.722597,33.692479,11.806988,10.935946,47.399761,45.169336,26.919685,34.262920,31.280812,34.700528,33.591518,1.339948,62910.67,10.45,467644640981208,71168517775,175687500551262,29140719688,a9d69a1bd8e659a6cfd04afd74ca64f7,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,85,164688.720000,49.210190,46.201905,50.129199,32.449685,25.061564,99.276316,97.543758,47.633870,47.200381,49.209520,46.201380,50.127847,0.226795,634906.12,33.82,3325577426027927,119131718656,1630868939226159,91522477724,57685eee8b7aa01007ec6f6d71e2fca8,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,110,75630.720000,45.140289,42.843684,47.494109,26.506494,20.657270,94.013614,91.684279,41.990920,43.864081,45.139562,42.842677,47.493001,0.513892,659449.74,30.75,3407927388901249,111706379988,1690284580995514,83925113216,2c7c00673ade32178b6554e7fc341897,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,135,32857.168000,41.166260,40.391153,45.410010,20.836251,16.493230,81.035317,78.646941,37.102228,41.115036,41.165547,40.389637,45.408923,0.598593,327781.83,17.05,2172033854616860,85577553597,915423239198593,47643143448,40f2f3fbf86bbc23ac5c989104a64313,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,160,13438.752000,37.362226,38.390960,43.461748,15.353072,12.591811,56.727634,55.018671,32.870337,38.530095,37.361614,38.389807,43.460257,0.984653,172333.94,17.61,1125006715676361,85503391817,581085606260190,64224975869,16cc81940f7bbcc35e5fd53b9efa464d,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,185,4495.856000,33.858392,36.383030,41.429744,10.469660,9.240357,30.387366,29.708301,29.246331,35.952419,33.857620,36.381967,41.428718,1.152560,89417.52,14.03,456436902219827,71349744134,230973575910498,39463364585,6502aa27338a57500e26650c712f4b44,
AI,aom,av2,0,A1,NocturneDance_3840x2160p_10bit_60fps.y4m,3840x2160,60.00,10,3840x2160,210,916.112000,31.052213,34.661213,39.623581,7.078863,6.943895,8.265241,8.098774,26.500126,33.863348,31.051532,34.660077,39.622351,1.845091,18511.61,7.02,126660458177803,49662434260,51699002985851,19636252933,b8c965516af0f74cbcaec9aec465ae1c,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,85,49144.446360,46.822900,49.292645,47.026172,34.131337,25.677166,99.846122,99.806715,47.966702,46.788892,46.817069,49.284952,47.021795,0.000335,327350.20,15.45,2287588531394275,88992519061,914183148188278,43157866804,268778e2f6cfa6b5e295c19ca2f4cb8c,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,110,22654.890432,44.898877,47.230527,45.245448,29.975193,23.551425,99.758753,99.122201,44.588568,45.132970,44.885841,47.219465,45.234689,0.002454,412154.55,16.74,2252667551159061,75841066309,1066737477251840,46394152805,821ea8c8f4482ecba72140a30767a259,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,135,11251.185552,42.370617,44.919591,43.607043,25.745869,20.963640,94.265925,92.130305,40.381569,43.314078,42.350942,44.909693,43.595965,0.005258,301195.82,15.14,1654347370644540,69694735188,783666931819305,42383192307,dc02fd52bb5ca4037f019104754e6858,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,160,5447.091456,39.181305,42.162840,41.539394,21.570360,17.939064,80.781904,78.340290,35.803512,41.017187,39.158439,42.154206,41.529168,0.011723,137350.58,10.87,950760731222003,70818096913,383600645633706,30372572801,5990310f1e1426173e6f399343410688,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,185,2488.596912,35.713097,39.288031,39.358087,17.454660,14.789280,59.520961,57.068644,31.522124,38.374258,35.692566,39.281615,39.348794,0.028208,65188.89,8.87,442873687782111,55776824553,182056761641215,24780749822,8be25c3bd441e433964fa691d94d79fe,
AI,aom,av2,0,A1,PierSeaSide_3840x2160_2997fps_10bit_420_v2.y4m,3840x2160,30.00,10,3840x2160,210,1038.008952,32.226019,36.220217,37.043296,13.496646,11.728089,33.798565,31.752783,27.683751,35.405030,32.209389,36.214942,37.033594,0.043870,35939.93,9.90,189722789151345,51209333244,96828432787759,28386390275,47ceefee1737f042ef5eae6afecfd7ac,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,85,185986.173826,42.568625,50.325046,49.350717,32.928018,21.631300,99.776260,99.735500,46.158823,44.235747,42.568513,50.324824,49.346202,0.002009,871830.45,16.48,6142505841950252,82378837259,2434742656484612,46036512451,71135ffb6564783c0b2c03e35707f0a3,
AI,aom,av2,0,A1,Tango_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,38763.380619,40.355961,49.339326,47.495863,27.189602,18.137872,97.845452,96.152386,41.094538,42.442920,40.355727,49.339169,47.490529,0.313974,598571.60,19.39,3170469552555629,81201722484,1540552453257870,53802380280,ef3111f687cc03c782faa1373da82a90,
