TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8428.723277,42.181185,44.773311,44.677641,26.966911,23.384780,96.885054,95.062164,45.682961,40.657963,41.986406,44.731343,44.634232,0.000012,316511.86,9.59,2405746276394758,60432851357,883905208567217,26815895228,2d440905a5d9ce1613fdd0f041d39311,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,2985.420733,39.565788,43.307286,43.601767,23.397470,20.310706,92.619720,90.518478,41.117889,38.828585,39.299884,43.273230,43.570726,0.000110,333876.48,9.85,1971905412785624,52085542673,865770020371717,27381222403,976e6dcd3426d44d3590dd7ca8081075,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1071.119650,36.504140,41.580408,42.291958,19.039586,16.603568,83.553749,81.281603,36.048479,36.567512,36.212470,41.549580,42.261852,0.002112,310943.43,7.92,1853497934916049,44761424712,807363947630498,22358403575,5dd7ab30f14669b2aaa2fa05c4f802a5,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,374.841159,33.457666,39.780823,40.744881,14.516406,12.943528,66.941818,64.863769,31.368891,34.192100,33.231176,39.757157,40.722994,0.014828,181978.32,5.81,1120785420992395,36180935358,473330117998648,16590052820,289b651125497d0654b91d87438b48ef,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,132.996849,30.643419,37.999753,39.261746,10.405905,9.730678,43.955394,42.475665,27.423391,31.894417,30.508418,37.980230,39.242435,0.047096,92801.53,4.88,594183484999424,26960323524,243131815717028,13466581685,742c57f15b888a704b6ecbd40a3e4126,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,49.206178,28.056894,36.491079,37.733628,7.036247,7.088869,21.119206,20.445893,24.226896,29.730945,27.990409,36.480540,37.724460,0.138862,45976.64,3.83,302501192981879,22782321780,122260360454689,10842810146,e63dd8bce14781d7463164187bc60f65,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23924.390686,41.744256,44.928627,46.671255,31.158641,27.328382,99.975897,99.806513,48.042821,42.242036,41.632211,44.886492,46.635049,0.120928,480810.82,19.74,2738895843705493,84990738500,1248313839085434,53690090889,2046e98e1440a7fc1475598590c4db0b,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11057.517252,37.802538,43.103360,44.517297,26.425513,23.182487,97.453615,95.617827,41.466131,39.520597,37.691790,43.078180,44.491233,0.159923,701482.78,15.97,3931059938938953,72592289398,1818268540043419,43692383024,26bb9804698638dacdfb699369c10ece,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4904.015369,33.625217,41.169912,42.171851,21.285741,18.611373,87.747066,85.653141,34.596067,36.383802,33.512271,41.147860,42.146723,0.184506,738969.71,11.67,4180270640881760,56319592132,1918054832513381,32458167970,5382f516b14c38f43801a25a6ea8f1a2,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,1997.634366,29.663322,38.968051,39.734470,16.137284,14.123795,69.878764,67.904865,28.515496,33.112811,29.556299,38.942256,39.703550,0.184154,437556.01,9.31,2537758396804571,45279424963,1136170891391365,26264909835,9e0cb5747faa089bba636fc1461f096c,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,695.824791,26.139958,36.504339,37.239992,11.363083,10.076512,45.259858,43.833229,23.525748,29.897963,26.043194,36.478134,37.223731,0.208635,173709.47,4.76,1335121277948815,33942226132,485149977664546,13317380196,f846622ca36eba4f34e032d68796941e,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,202.866672,23.329940,34.043315,34.173866,7.567813,6.930354,21.911488,21.081164,19.835275,27.118288,23.270353,34.029988,34.170611,0.185314,109638.32,5.53,672677983259249,31398623909,286699189004423,15626411615,89cfa116a2fec6536a36c5ae8109c776,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,110,57383.824615,38.826564,40.275253,41.139940,25.435602,21.362118,99.975996,99.968228,44.014654,37.397956,38.633955,40.181745,41.060317,0.000382,1086060.48,37.60,6113855120357717,160338115911,2818518982336472,101968075340,ab80d70d49a1f4292c3ddae8cd302e7e,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,135,23264.464615,35.128520,37.947731,38.643574,22.132710,18.542446,97.034664,94.999561,38.542289,34.898351,35.010973,37.895520,38.585624,0.000650,1328059.89,19.09,9450059925725504,120718181976,3708639877793420,53289413000,de58effae7e49e36d679782a4652e57e,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,160,9480.950769,31.431304,35.805864,36.263379,18.163072,15.291367,84.170987,81.900810,32.484550,32.413977,31.328551,35.765576,36.215069,0.000743,1322864.36,13.81,9514718086506080,91671269369,3694210011792505,38575474792,af783f827688a22871fd03e40764a013,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,185,3661.627692,27.978486,33.832882,34.068800,13.790172,11.810737,62.274644,60.302626,26.998850,29.951121,27.889332,33.800456,34.029394,0.002734,935667.53,13.71,5369930867848702,69372729449,2428812322835982,38330973268,3c4d67a6303f1306ad4be65f477459a3,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,210,1216.024615,24.842386,32.034695,32.146384,9.528624,8.497539,35.995334,34.737562,22.370009,27.498931,24.773420,32.011989,32.119415,0.019118,421850.53,10.17,2512510482356058,56913412455,1097987103342159,28919063393,628594b635a1498303229f34721d492e,
LD,aom,av2,0,A2,CrowdRun_1920x1080p50.y4m,1920x1080,50.00,8,1920x1080,235,337.516923,22.259398,30.512787,30.538809,6.208488,5.876991,14.258520,13.789786,18.907385,25.220385,22.214519,30.502825,30.527076,0.074731,165849.69,5.94,1024165031553394,36611062994,433890478713331,16817725396,ba1d2cb4469d16234993bf437096148e,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,110,13074.609083,38.999428,41.892275,46.534484,20.559335,16.986587,90.286527,88.988457,40.704883,38.906872,38.823647,41.806218,46.490990,0.771673,868309.08,14.10,6434571357013062,87584138861,2424898062327873,39459568789,3f7671c81eae01951f8f0f007843bd34,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,135,1115.683701,37.629944,40.365295,45.950964,17.393209,14.782388,84.187488,82.437236,37.629849,37.667665,37.606347,40.343166,45.945090,3.037575,409639.45,9.45,2376027057408809,54202482243,1060146005235907,26710442694,bd09b3b2f91c1df0ac379dd172f892f5,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,160,115.044340,37.257754,40.081197,45.603790,16.532806,14.308886,78.439114,76.364647,36.722019,37.361204,37.255644,40.078653,45.602321,3.286733,188024.00,6.20,1139814148872123,35734577338,488477150395997,17820595943,488fb2c6804b478d94eae080c375f526,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,185,46.102205,36.671520,39.866636,45.059074,15.373937,13.703473,68.828584,66.363288,35.448897,37.017799,36.667599,39.864774,45.057417,3.332942,71060.10,3.72,451150068742236,22617159085,186660910520396,10619757492,9fe8468275e7b3663f53e865ad81b8bb,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,210,22.720049,35.493484,39.400031,44.209615,13.559894,12.615758,53.351428,50.730708,33.379372,36.297684,35.476564,39.396140,44.204465,2.894550,30751.75,5.20,195048006292905,29290296376,81721378334120,14842263830,9187e5b7b8eae7be70a138d8d1ded154,
LD,aom,av2,0,A2,DinnerSceneCropped_1920x1080_2997fps_10bit_420.y4m,1920x1080,30.00,10,1920x1080,235,11.486360,33.631621,38.770586,42.911323,11.414280,11.087524,32.155843,30.608485,30.775012,35.157147,33.593063,38.766584,42.904528,3.071386,14290.16,3.80,85675773233350,21880452963,38953115605682,10794407426,5b48b1a795d5f3e8a507ce4b892ac933,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,18606.124952,39.955348,44.305333,45.220624,22.525445,19.121032,99.737835,98.674036,42.113565,39.995023,39.824570,44.262418,45.193029,0.100308,636453.55,14.20,4703950749656453,86597702234,1777474987133934,39678280869,8e0c36601b4d788ae38e65c0d81894a3,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,4512.807808,38.036522,43.151586,44.206841,19.139357,16.754535,94.727214,92.518103,38.323609,38.613060,37.987570,43.133516,44.194580,0.141821,568758.38,12.01,3292438752311909,65751986513,1472449603498491,33554352905,f780f4fdfb9aef26d4fc8295b2ca4855,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1530.644125,35.953364,41.775386,42.853326,15.674891,14.267795,83.778730,81.354097,34.526892,37.072318,35.897277,41.749975,42.832923,0.286032,403340.66,9.92,2551129250149831,59064758749,1129196383186651,30143061245,f95cdff0c0b93f03e7d7d6eebb573cfb,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,579.260739,33.531477,40.336505,41.271640,12.050590,11.503061,65.869596,63.622973,30.765818,35.302209,33.470575,40.297014,41.242631,0.554298,212333.54,7.65,1301848129798221,44865028584,553770351568752,21816030256,f4ade9ff820301b2430c308637486d65,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,213.589487,31.075885,38.755705,39.614815,8.961350,8.990235,46.624100,44.820282,27.513167,33.388386,31.023408,38.708830,39.583792,0.868861,98046.43,5.95,628856545234684,34279814570,258549070629979,16938596145,ae3347da85e5c1437a76286f9b3013b2,
LD,aom,av2,0,A2,FoodMarket_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,78.464305,28.801237,37.044660,37.753205,6.808877,7.080586,33.563505,31.831382,24.904793,31.421182,28.759216,37.000397,37.713267,1.193856,33919.17,3.22,288090582758493,23834046349,94720732857799,8991225561,3d3abef20a9a980761edb8660b66ca3e,
LD,aom,av2,0,A2,GregoryScarf_1080x1920p30_yuv420p10le_130frames.y4m,1080x1920,30.00,10,1080x1920,110,26639.490462,40.526704,47.248690,46.885607,26.049524,22.312718,99.974364,99.967847,44.030366,42.083661,40.325564,46.986610,46.662105,0.074893,788485.51,28.44,4481687665221428,138316474796,2041747104532398,76916194880,f317081ac548cc3ab35dbdd7d87b20a6,
