TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18689.672174,42.396851,48.729836,48.732383,29.338114,20.337147,99.974825,99.914893,43.027004,43.267906,42.345865,48.704881,48.706981,0.984160,,,,,,,504eace086c50b50352feb56b2c34135,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6621.971260,41.571398,47.549047,47.470419,27.513886,19.565969,99.633406,97.781202,41.495066,42.401273,41.556550,47.536797,47.456442,1.186745,,,,,,,a49fd69c9e1e7872415049dec167299c,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2744.686698,40.302305,45.991249,45.808689,25.063627,18.450064,95.191483,92.763506,39.168428,41.217909,40.287915,45.978969,45.796533,1.245999,,,,,,,18b539c0a8018713a8052bb0cea46f31,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1323.793745,38.282681,43.982301,43.724827,21.778501,16.689675,85.993229,83.249282,35.929193,39.563078,38.262096,43.970545,43.711649,1.313145,,,,,,,f708657674cf29539400589ae005a0c8,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,635.372013,35.573079,41.581931,41.337954,18.119685,14.428974,71.334082,68.258855,32.264776,37.414444,35.547507,41.568251,41.324503,1.324263,,,,,,,e128a0b122761c93362c12cc432e4684,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,294.473526,32.415755,38.836627,38.800665,14.350207,11.909579,52.069845,48.986475,28.520641,34.769512,32.388012,38.825857,38.790392,1.230784,,,,,,,337d799f10c487d1ca8ce7fdf15cb3ef,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,17138.707446,42.791261,48.817925,52.277902,28.535175,20.070117,95.554026,93.748156,43.157221,43.705653,42.751267,48.803508,52.267867,0.315078,,,,,,,c8405d7fa02cec6a45e6776dd07dc511,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,5354.495351,42.131663,48.167625,51.349289,25.989898,19.203561,91.139802,89.027553,41.609743,43.056166,42.122371,48.162770,51.341172,0.369410,,,,,,,6e61e8dcad05c5f17d091d25d0ad25e7,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2272.196726,41.077544,47.180036,49.926895,22.709112,17.945263,82.920341,80.521405,39.452124,42.076790,41.056521,47.173064,49.913556,0.381006,,,,,,,a3e30ebcaee1c297599b90a764987006,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1057.689388,39.460477,45.733290,48.019099,19.159333,16.262561,69.823082,67.339819,36.849548,40.635423,39.421111,45.723588,47.998525,0.408917,,,,,,,1d6c081d82edbccdd36dd5bc66405004,
