TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,110,18691.273035,42.399074,48.725159,48.731155,13.975288,20.340027,99.974870,99.917640,43.030379,43.265987,42.348049,48.699824,48.705426,0.931846,,,,,,,e44d1915752aa8e448658a8f9fc7e8d0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,135,6628.205026,41.574327,47.548359,47.470558,13.574919,19.569878,99.647216,97.795556,41.501443,42.400259,41.559474,47.536396,47.456701,1.191166,,,,,,,090398f53968a8557c7b6f867966fac0,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,160,2747.113809,40.302340,45.978915,45.809845,13.047371,18.450339,95.187997,92.780491,39.168184,41.218028,40.287914,45.966135,45.797331,1.236379,,,,,,,e27c2e6ee4e1b720777b17a9402810d6,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,185,1320.824406,38.277582,43.979487,43.716101,12.215187,16.684878,86.031013,83.255561,35.926703,39.557635,38.256847,43.966964,43.705208,1.284483,,,,,,,9e3f77586122c05a25c9dc2bd461f227,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,210,636.168754,35.576577,41.544790,41.349178,11.117021,14.425912,71.203989,68.152619,32.267836,37.402984,35.550552,41.531979,41.333414,1.316835,,,,,,,b50ba8360445091802e2286a648a031c,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,3840x2160,235,293.562438,32.413764,38.811171,38.787917,9.877806,11.913835,51.599668,48.622341,28.518344,34.766047,32.386579,38.798631,38.777026,1.261357,,,,,,,8c3c262d956fa97e83e4f53427d15f26,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,110,9348.834550,41.590579,47.086403,47.205966,13.642342,19.872191,99.928935,98.334291,42.122522,42.441347,41.575989,47.076257,47.193153,1.188808,,,,,,,af551ca49547d3a1fff354d2453534e2,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,135,3849.911319,40.712589,46.072792,46.045098,13.243210,19.005230,97.246311,94.883151,40.297313,41.596854,40.701989,46.063551,46.033262,1.219699,,,,,,,08b35ac6292bc445fa433a171e688483,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,160,1796.401752,39.138966,44.555120,44.416379,12.577953,17.553568,90.512543,87.778606,37.443793,40.289421,39.122616,44.543889,44.404193,1.305440,,,,,,,8b568fd41639a3fef01d92c76a3d21b3,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,185,862.590948,36.798534,42.607978,42.406538,11.615907,15.513364,78.484266,75.416170,33.940001,38.456025,36.775620,42.595891,42.393953,1.377264,,,,,,,be7742c403903be6d0b2529ad0f6fe79,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,210,404.829632,33.886431,40.262730,40.097701,10.441578,13.089999,60.921785,57.767015,30.243423,36.214427,33.859853,40.252295,40.083211,1.373960,,,,,,,1accdf29758a628cd1a3975d280aacb4,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,2560x1440,235,185.644509,30.743391,37.833442,37.729770,9.279284,10.673662,40.837541,37.985637,26.707384,33.650355,30.716764,37.823642,37.722612,1.168988,,,,,,,9a0e907bdd64d4f0fa615653326ae113,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,110,6251.630216,40.680295,45.925380,45.800863,13.276596,19.396624,98.009571,95.673822,41.139017,41.745041,40.672137,45.918916,45.790799,1.266802,,,,,,,1365c0b63043ebc9158e35c449fdf932,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,135,2811.911781,39.736796,44.983942,44.741441,12.840508,18.399349,93.934339,91.294007,39.061719,40.862285,39.726422,44.976590,44.730414,1.332859,,,,,,,d87847984505a07b21957e8baa6b15d1,
AS,aom,av2,0,A1,BoxingPractice,3840x2160,60.0000,10,1920x1080,160,1331.200492,38.026192,43.536547,43.200057,12.102906,16.735159,85.200434,82.337488,35.964901,39.468467,38.008534,43.527127,43.188235,1.446962,,,,,,,1226514188f6fb853a7e70c1b44b915e,
