TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,8483.643126,42.191406,44.783974,44.688271,15.897070,23.394233,96.860616,95.048554,45.689211,40.668176,41.995073,44.740634,44.643202,0.000005,327675.29,13.08,2469620117977054,59206970759,915140384935763,35457182253,412eedfcd87209d61270111695202203,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,3065.006378,39.629525,43.401348,43.662886,13.686522,20.412765,92.651472,90.543244,41.216870,38.913162,39.361106,43.364697,43.629484,0.000013,259550.37,9.89,1945959113809096,49812881023,724852697582260,27041191735,c1ddeeed8544fb39b31874537a1c582f,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,1119.108584,36.631646,41.724534,42.384373,11.046859,16.808517,83.792228,81.536921,36.247492,36.719656,36.332342,41.690530,42.352508,0.001813,229705.23,8.24,1729394317971174,43370599234,641493558407151,23196169460,e7c34b81b18415621c0aa6d8290a7dd9,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,397.979866,33.603853,39.959057,40.869829,8.523125,13.152623,67.796005,65.698951,31.593541,34.363983,33.369365,39.930833,40.846702,0.012018,172815.80,5.84,1057079000714911,34092428019,449688062908881,16669553797,792ffafb94f455c9f93466e18f6d7e86,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,210,141.764697,30.810233,38.219650,39.373125,6.602481,9.958209,45.228803,43.705436,27.659979,32.086535,30.663719,38.196948,39.355049,0.048292,68892.64,4.54,555420343085858,26900140697,192393984906210,13019756469,26c73500b70dd6057fe313fc03bcfbb7,
LD,aom,av2,0,A2,Aerial3200_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,235,53.348498,28.240102,36.651372,37.838175,5.314032,7.299472,22.425537,21.622834,24.442173,29.891514,28.166348,36.637268,37.828319,0.090076,42118.84,3.94,282530694095480,24238078295,111693176013397,14459672425,63e70fa596a69d8e94f8dcae2085b24d,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,110,23825.768078,41.734113,44.958276,46.721359,19.409183,27.323852,99.976207,99.781631,47.993134,42.271747,41.615120,44.913414,46.680974,0.125094,508333.48,19.67,2882429268294149,82205783636,1318976857612571,53465730611,2b385f34d1fe3218b7928ec7385d2036,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,135,11095.281334,37.849659,43.189084,44.644189,16.101449,23.265931,97.437355,95.619312,41.501650,39.621016,37.730412,43.161395,44.614884,0.159898,699469.87,15.76,3881607399253049,70550737975,1812479647344020,43157860435,c344f914786ba4f13d280d1c2654df7a,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,160,4925.342965,33.673069,41.305528,42.288356,12.358153,18.707245,87.790423,85.719030,34.626411,36.491999,33.551156,41.282412,42.258362,0.177394,550608.07,9.32,4100475001248494,55654064146,1867730233948671,33654683578,acd9fd3ecf3fb6bb00783ceaf1da281e,
LD,aom,av2,0,A2,Boat_1920x1080_5994_10bit_420.y4m,1920x1080,60.00,10,1920x1080,185,2013.071236,29.716812,39.099838,39.904291,8.878765,14.242514,70.113132,68.155868,28.573074,33.220260,29.601546,39.073327,39.871765,0.210526,426273.25,8.85,2469255683507645,42838927319,1106867932342174,25011844249,99ebfac0a086e15bd99649daa7a13e43,
