TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,OrigRes,FPS,BitDepth,CodedRes,QP,Bitrate(kbps),PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,APSNR_Y,APSNR_U,APSNR_V,CAMBI,EncT[s],DecT[s],EncInstr,DecInstr,EncCycles,DecCycles,EncMD5,DecMD5
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,18691.273035,42.399074,48.725159,48.731155,13.975288,20.340027,99.974870,99.917640,43.030379,43.265987,42.348049,48.699824,48.705426,0.931846,,,,,,,e44d1915752aa8e448658a8f9fc7e8d0,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,6628.205026,41.574327,47.548359,47.470558,13.574919,19.569878,99.647216,97.795556,41.501443,42.400259,41.559474,47.536396,47.456701,1.191166,,,,,,,090398f53968a8557c7b6f867966fac0,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2747.113809,40.302340,45.978915,45.809845,13.047371,18.450339,95.187997,92.780491,39.168184,41.218028,40.287914,45.966135,45.797331,1.236379,,,,,,,e27c2e6ee4e1b720777b17a9402810d6,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1320.824406,38.277582,43.979487,43.716101,12.215187,16.684878,86.031013,83.255561,35.926703,39.557635,38.256847,43.966964,43.705208,1.284483,,,,,,,9e3f77586122c05a25c9dc2bd461f227,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,636.168754,35.576577,41.544790,41.349178,11.117021,14.425912,71.203989,68.152619,32.267836,37.402984,35.550552,41.531979,41.333414,1.316835,,,,,,,b50ba8360445091802e2286a648a031c,
RA,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,293.562438,32.413764,38.811171,38.787917,9.877806,11.913835,51.599668,48.622341,28.518344,34.766047,32.386579,38.798631,38.777026,1.261357,,,,,,,8c3c262d956fa97e83e4f53427d15f26,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,110,17136.033198,42.791627,48.817536,52.280044,13.526130,20.071322,95.546002,93.747624,43.159012,43.705406,42.751551,48.803037,52.270065,0.314597,,,,,,,da74621201f3c0c8b774b93072934ee9,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,135,5345.745946,42.131836,48.161779,51.340155,13.216791,19.203589,91.122211,89.016500,41.609517,43.053940,42.122558,48.157030,51.331892,0.364939,,,,,,,8c9966e92386716b1ad6b403a9ecc6bf,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,160,2270.890955,41.079463,47.162608,49.921457,12.880922,17.946414,82.940772,80.560236,39.454238,42.068453,41.058596,47.155741,49.907411,0.382870,,,,,,,44bddfb01d7de17027c403732855e92c,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,185,1055.262276,39.457742,45.752296,47.976921,12.457361,16.257370,69.881678,67.404281,36.844747,40.628501,39.418285,45.741326,47.956593,0.413666,,,,,,,c4b9a54e119936c4fe3bccd647d46943,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,210,498.277108,37.203277,43.696591,45.608955,11.953683,14.228368,52.306556,49.971593,33.918882,38.604499,37.145408,43.679334,45.581351,0.459730,,,,,,,1a5c813d9d855d21ead2a7989bbd7e17,
RA,aom,av2,0,A1,Crosswalk_3840x2160_5994fps_10bit_420.y4m,3840x2160,60.00,10,3840x2160,235,231.036656,34.348685,41.432238,42.854065,11.360084,11.966635,31.469920,29.866192,30.744323,36.064685,34.276489,41.421627,42.823670,0.375242,,,,,,,e415d75c494b05642e223d9273b37b4f,
